booking_id,customer_id,booking_date,departure_date,departure_airport,arrival_airport,booking_amount,currency_code,passenger_count,booking_status,device_id,ip_address,ip_country_code
68,1885,2025-09-20 01:31:48,2026-03-10,ORD,MAN,625.66,GBP,4,Confirmed,DEV-001885,194.50.46.170,IT
69,1020,2025-08-12 01:40:58,2025-08-29,MUC,TIA,129.49,GBP,2,Confirmed,DEV-001020,211.222.91.131,RO
70,1170,2025-04-22 02:40:09,2025-04-23,AGP,NCE,1055.14,GBP,2,Cancelled,DEV-001170,67.216.158.53,GR
71,810,2025-02-02 11:11:46,2025-05-30,AUH,SKG,2258.45,GBP,3,Cancelled,DEV-000810,220.133.55.195,NL
72,378,2025-03-06 22:33:59,2025-03-26,LGW,CDG,949.29,GBP,3,Completed,DEV-000378,90.236.102.231,US
73,590,2026-05-09 06:14:50,2026-09-29,LOS,CDG,151.04,GBP,1,Confirmed,DEV-000590,145.29.198.197,DE
74,1329,2026-01-06 01:15:57,2026-06-23,TIA,OTP,1049.74,GBP,3,Confirmed,DEV-001329,74.89.198.66,NL
75,832,2025-11-24 02:37:50,2025-12-26,TIA,OTP,2254.62,GBP,4,Pending Review,DEV-FRAUD-014,55.201.72.121,AE
76,560,2026-07-14 15:51:57,2026-08-25,OTP,AMS,891.77,GBP,1,Confirmed,DEV-000560,22.10.4.236,AE
77,1962,2025-11-13 10:49:43,2025-12-02,AGP,TIA,1369.31,GBP,1,Confirmed,DEV-001962,41.240.143.177,FR
78,969,2025-10-22 15:57:53,2025-10-30,JFK,VCE,1481.53,GBP,2,Cancelled,DEV-SHARED-063,77.201.76.29,NG
79,347,2025-10-11 16:07:09,2025-12-02,BER,DXB,1473.33,GBP,4,Pending Review,DEV-000347,86.16.66.224,ES
80,1132,2025-05-30 19:58:50,2025-08-09,FCO,CDG,1994.86,GBP,3,Completed,DEV-001132,147.121.44.222,ES
81,116,2026-05-09 11:07:53,2026-06-01,TIA,LOS,1096.39,GBP,2,Confirmed,DEV-SHARED-011,188.31.226.48,US
82,1738,2026-01-27 15:25:54,2026-03-29,LOS,FRA,977.84,GBP,3,Confirmed,DEV-001738,16.32.252.89,RO
83,1490,2025-09-05 19:47:01,2025-09-07,SKG,AMS,2129.75,GBP,4,Pending Review,DEV-FRAUD-023,37.197.214.244,FR
84,1019,2025-11-01 15:43:57,2026-03-24,JFK,AMS,341.43,GBP,3,Pending Review,DEV-001019,133.253.110.107,GB
85,1653,2026-06-19 18:50:25,2026-09-24,TIA,BER,746.66,GBP,3,Completed,DEV-001653,50.65.164.201,GB
86,948,2026-04-23 00:38:13,2026-07-03,OTP,TIA,1928.53,GBP,2,Completed,DEV-000948,125.160.102.211,NL
87,1435,2025-01-09 11:27:07,2025-03-05,LAX,MXP,1527.81,GBP,3,Confirmed,DEV-001435,51.232.145.42,AL
88,1324,2025-09-09 13:38:22,2025-12-04,AGP,FCO,1156.80,GBP,2,Confirmed,DEV-SHARED-092,24.184.182.87,DE
89,1123,2026-06-14 13:28:48,2026-06-14,NCE,BCN,234.69,GBP,2,Confirmed,DEV-SHARED-083,83.198.202.5,AE
90,471,2026-03-29 15:02:44,2026-06-29,HER,BCN,901.08,GBP,2,Confirmed,DEV-000471,86.100.167.230,DE
91,379,2025-10-19 18:22:46,2025-10-19,OTP,MUC,2986.20,GBP,2,Confirmed,DEV-FRAUD-020,4.110.92.221,AL
92,1629,2026-06-03 02:14:03,2026-08-08,BCN,FCO,1617.99,GBP,1,Confirmed,DEV-001629,166.97.216.190,GB
93,246,2026-07-15 07:57:25,2026-11-11,AUH,ORY,1338.04,GBP,4,Confirmed,DEV-000246,6.245.32.188,ES
94,577,2026-05-30 04:23:53,2026-08-09,ORY,LHR,1799.16,GBP,3,Confirmed,DEV-SHARED-073,154.188.233.211,US
95,1572,2025-08-16 03:39:16,2026-02-07,AMS,AUH,776.66,GBP,2,Completed,DEV-001572,130.74.174.139,AE
96,9,2025-07-17 20:16:19,2026-01-06,NCE,LOS,1127.05,GBP,3,Confirmed,DEV-000009,177.54.115.164,GB
97,198,2025-06-25 08:37:14,2025-06-25,JFK,TIA,365.93,GBP,3,Confirmed,DEV-000198,110.244.21.174,NL
98,1990,2026-06-16 22:29:42,2026-06-25,CDG,LOS,1445.80,GBP,4,Confirmed,DEV-001990,80.231.110.158,ES
99,241,2026-06-27 07:42:00,2026-08-13,AUH,LOS,489.25,GBP,2,Confirmed,DEV-000241,78.93.114.88,FR
100,1240,2026-03-14 02:48:26,2026-03-15,ATH,MXP,1068.76,GBP,1,Confirmed,DEV-001240,171.183.243.103,NL
101,403,2026-05-05 11:56:46,2026-09-24,JFK,MAN,445.84,GBP,1,Completed,DEV-000403,171.136.4.78,GR
102,980,2026-06-07 23:03:49,2026-07-24,AGP,MUC,975.12,GBP,4,Pending Review,DEV-SHARED-098,58.134.208.16,ES
103,1019,2025-02-28 07:08:03,2025-03-10,ORD,MUC,872.65,GBP,4,Confirmed,DEV-001019,99.70.240.87,GB
104,1992,2026-01-16 23:22:00,2026-04-14,DXB,AMS,658.09,GBP,3,Confirmed,DEV-001992,149.88.60.186,IT
105,700,2025-04-24 15:58:25,2025-05-15,BER,LGW,1451.15,GBP,4,Confirmed,DEV-000700,153.55.243.112,FR
106,229,2025-09-20 05:25:47,2025-12-02,CDG,AGP,413.93,GBP,4,Confirmed,DEV-000229,158.8.82.24,NG
107,1740,2025-10-28 08:40:18,2025-12-29,SKG,OTP,1590.20,GBP,3,Confirmed,DEV-001740,128.198.226.156,AL
108,473,2026-02-10 08:40:29,2026-06-13,SKG,MXP,1051.00,GBP,4,Confirmed,DEV-000473,59.137.187.234,GB
109,1076,2025-12-28 04:15:13,2026-03-16,AUH,BCN,1979.48,GBP,3,Confirmed,DEV-001076,43.120.8.207,IT
110,18,2026-03-15 09:40:24,2026-05-26,NCE,AMS,99.61,GBP,2,Confirmed,DEV-000018,183.127.82.164,GB
111,1488,2025-11-10 17:12:46,2026-03-12,MAD,MAN,1417.95,GBP,2,Confirmed,DEV-001488,95.152.59.155,GR
112,302,2026-02-07 11:29:51,2026-03-17,ATH,MAN,501.52,GBP,2,Cancelled,DEV-000302,26.151.191.14,NL
113,1779,2026-01-08 09:45:16,2026-01-09,OTP,TIA,1387.52,GBP,3,Confirmed,DEV-SHARED-028,95.26.63.227,RO
114,1874,2025-06-02 11:56:08,2025-06-03,CDG,LHR,384.72,GBP,1,Confirmed,DEV-001874,68.247.33.57,FR
115,1264,2026-07-20 09:26:51,2026-11-20,ORY,MUC,438.80,GBP,1,Completed,DEV-001264,70.168.153.128,NG
116,1730,2025-06-20 01:34:17,2025-08-25,TIA,DXB,289.01,GBP,1,Confirmed,DEV-001730,112.207.221.40,GB
117,1008,2025-11-04 20:24:00,2026-02-18,LGW,CDG,405.97,GBP,4,Confirmed,DEV-001008,204.77.26.1,GB
118,81,2026-04-23 04:33:46,2026-04-23,OTP,MUC,1351.89,GBP,2,Confirmed,DEV-000081,156.114.145.9,DE
119,857,2026-01-19 07:31:28,2026-04-11,ORD,SKG,370.87,GBP,2,Confirmed,DEV-SHARED-014,112.209.62.239,GB
120,1748,2026-05-29 23:15:11,2026-10-06,DXB,BCN,1451.20,GBP,1,Cancelled,DEV-001748,107.47.249.225,IT
121,1859,2025-07-19 02:18:49,2025-11-05,LOS,AMS,1510.15,GBP,3,Confirmed,DEV-SHARED-099,112.20.232.247,US
122,473,2026-01-16 09:41:10,2026-03-17,ORY,TIA,499.10,GBP,1,Confirmed,DEV-000473,20.140.213.5,NG
123,1597,2025-04-01 00:00:15,2025-04-28,AGP,AUH,2058.60,GBP,3,Pending Review,DEV-FRAUD-031,107.82.218.53,AL
124,554,2026-07-03 08:15:28,2026-10-29,HER,CDG,785.16,GBP,3,Completed,DEV-000554,159.44.32.42,AL
125,1050,2025-11-09 14:23:12,2025-12-30,JFK,DXB,760.81,GBP,3,Confirmed,DEV-001050,10.231.96.1,IT
126,1570,2025-04-01 11:36:12,2025-08-03,MAN,LAX,1493.48,GBP,2,Confirmed,DEV-001570,209.194.78.72,ES
127,672,2025-05-24 12:28:37,2025-07-01,MAN,ORD,931.55,GBP,3,Completed,DEV-000672,220.40.152.233,US
128,961,2026-06-17 02:58:45,2026-07-17,BCN,CDG,914.33,GBP,2,Confirmed,DEV-000961,175.139.96.127,FR
129,1210,2025-11-16 15:43:04,2026-01-31,OTP,MAD,950.81,GBP,1,Completed,DEV-SHARED-015,183.20.118.64,AL
130,1335,2025-06-13 06:30:16,2025-06-19,LOS,BCN,557.80,GBP,2,Confirmed,DEV-001335,49.124.250.126,GR
131,847,2026-01-23 21:09:22,2026-03-03,TIA,SKG,323.02,GBP,3,Confirmed,DEV-000847,57.224.68.5,AL
132,636,2025-11-10 13:47:17,2025-11-12,LGW,NCE,223.07,GBP,1,Completed,DEV-000636,198.214.174.1,NG
133,871,2025-07-15 02:06:19,2025-09-25,ORD,AMS,968.62,GBP,2,Confirmed,DEV-000871,127.116.220.246,ES
134,1513,2025-02-26 09:26:09,2025-07-19,CDG,LOS,263.95,GBP,1,Cancelled,DEV-001513,203.123.22.122,US
135,1818,2026-06-08 02:41:22,2026-10-17,OTP,LHR,1391.56,GBP,3,Completed,DEV-001818,211.80.119.189,DE
136,1869,2025-07-27 13:53:07,2025-10-14,ORY,FCO,687.07,GBP,2,Confirmed,DEV-SHARED-023,112.117.85.69,AL
137,572,2025-09-03 05:38:15,2025-10-30,MAN,MUC,1210.77,GBP,1,Confirmed,DEV-000572,102.69.27.133,FR
138,152,2026-03-03 21:26:49,2026-03-27,MAD,LOS,838.18,GBP,4,Completed,DEV-000152,185.41.164.118,ES
139,1605,2026-07-20 07:25:37,2026-10-26,VCE,OTP,2193.93,GBP,2,Completed,DEV-001605,74.251.39.39,US
140,774,2025-09-26 05:49:51,2025-10-21,BER,MAD,807.21,GBP,4,Confirmed,DEV-SHARED-035,142.20.240.14,ES
141,251,2026-06-12 00:43:36,2026-10-28,AMS,NCE,2111.37,GBP,4,Confirmed,DEV-000251,166.32.204.69,US
142,1486,2026-02-15 08:37:05,2026-03-16,MUC,LHR,1182.18,GBP,2,Cancelled,DEV-001486,185.188.174.140,NL
143,596,2026-07-16 10:38:34,2026-12-01,TIA,LOS,1381.90,GBP,1,Confirmed,DEV-000596,75.29.149.62,NG
144,528,2026-07-12 00:22:10,2026-08-15,NCE,BER,387.06,GBP,1,Confirmed,DEV-000528,51.252.110.35,NG
145,172,2026-04-21 06:10:47,2026-08-29,LGW,MXP,537.91,GBP,1,Confirmed,DEV-000172,29.65.6.63,GB
146,1221,2025-04-03 23:23:14,2025-07-21,AMS,AUH,1330.78,GBP,3,Confirmed,DEV-001221,58.118.203.136,IT
147,925,2025-08-02 14:44:17,2025-11-20,LAX,ORY,1780.66,GBP,4,Completed,DEV-000925,112.23.49.30,FR
148,1527,2025-06-15 07:52:33,2025-06-15,AMS,AUH,433.00,GBP,2,Completed,DEV-001527,75.20.59.62,AL
149,280,2026-06-09 05:46:36,2026-06-09,FRA,ORD,2544.66,GBP,2,Confirmed,DEV-FRAUD-004,116.130.84.104,AL
150,1187,2026-06-06 07:00:54,2026-11-01,MXP,CDG,542.08,GBP,2,Cancelled,DEV-001187,199.220.206.145,NL
151,1992,2025-10-01 20:28:12,2025-11-17,AMS,MAD,512.28,GBP,1,Completed,DEV-001992,89.208.60.252,IT
152,1210,2025-10-06 15:03:58,2025-11-15,LOS,AGP,450.17,GBP,2,Completed,DEV-SHARED-107,87.61.128.216,AL
153,61,2025-05-08 13:45:26,2025-07-07,VCE,AUH,2234.49,GBP,2,Confirmed,DEV-000061,211.13.24.243,RO
154,929,2025-11-13 17:46:33,2026-04-26,OTP,FRA,1315.86,GBP,4,Cancelled,DEV-000929,183.229.71.186,NL
155,539,2025-08-12 01:57:31,2025-10-04,FCO,AMS,401.69,GBP,1,Confirmed,DEV-000539,174.52.40.155,DE
156,1372,2025-09-04 19:24:00,2026-01-11,OTP,LAX,1465.32,GBP,1,Completed,DEV-001372,76.22.48.111,AE
157,816,2026-05-06 08:12:49,2026-06-14,AMS,HER,1128.77,GBP,2,Confirmed,DEV-000816,213.251.224.60,AL
158,1966,2025-12-09 21:37:03,2026-05-11,MAD,LGW,979.77,GBP,3,Cancelled,DEV-001966,139.73.43.169,AL
159,1407,2025-07-25 18:15:15,2025-09-04,LOS,BER,817.13,GBP,2,Confirmed,DEV-001407,156.147.8.244,DE
160,1417,2025-07-14 18:42:57,2025-09-29,LHR,AUH,496.04,GBP,4,Completed,DEV-SHARED-011,46.120.205.115,AE
161,1756,2026-06-14 07:11:13,2026-10-24,LOS,NCE,1278.24,GBP,3,Confirmed,DEV-001756,69.15.184.194,NG
162,374,2026-02-11 16:19:46,2026-07-15,ORY,MUC,270.57,GBP,1,Completed,DEV-SHARED-069,43.133.40.176,DE
163,1984,2026-03-23 23:02:51,2026-08-23,AMS,FRA,1062.58,GBP,4,Confirmed,DEV-SHARED-091,157.164.249.198,RO
164,1192,2025-07-03 07:41:40,2025-07-15,ATH,AMS,1900.65,GBP,1,Confirmed,DEV-001192,115.162.23.5,DE
165,1623,2025-03-09 16:21:07,2025-03-10,ORD,AGP,617.21,GBP,2,Completed,DEV-001623,143.178.205.42,ES
166,344,2025-04-18 08:35:24,2025-07-16,MUC,AGP,1474.93,GBP,2,Completed,DEV-000344,31.42.219.253,NL
167,1799,2026-04-03 01:36:56,2026-04-03,LOS,SKG,2465.11,GBP,2,Confirmed,DEV-SHARED-001,78.145.196.99,ES
168,1945,2026-05-19 19:55:57,2026-06-29,AGP,OTP,255.39,GBP,1,Confirmed,DEV-001945,49.32.64.52,FR
169,17,2026-04-29 10:44:09,2026-08-16,LAX,AMS,298.86,GBP,4,Confirmed,DEV-000017,192.185.136.124,ES
170,1967,2025-04-04 22:17:39,2025-05-21,OTP,LOS,2256.23,GBP,2,Confirmed,DEV-001967,26.218.167.169,IT
171,1617,2026-03-25 15:20:25,2026-08-13,ORY,LGW,864.44,GBP,3,Confirmed,DEV-001617,148.255.59.47,ES
172,1005,2026-07-04 20:33:36,2026-09-28,LHR,OTP,2546.36,GBP,2,Confirmed,DEV-001005,12.135.250.156,GB
173,808,2025-02-17 06:54:15,2025-03-02,MAD,FRA,467.45,GBP,1,Confirmed,DEV-000808,165.85.178.170,GR
174,395,2025-08-23 00:22:35,2025-10-15,MAD,FCO,893.89,GBP,2,Confirmed,DEV-000395,222.235.209.120,ES
175,86,2025-08-21 22:47:52,2025-09-01,ATH,TIA,1103.17,GBP,3,Confirmed,DEV-000086,170.91.233.167,ES
176,1181,2026-06-01 11:04:19,2026-06-01,CDG,AUH,1987.41,GBP,3,Confirmed,DEV-FRAUD-025,211.8.49.59,US
177,53,2026-02-11 16:46:41,2026-02-27,LHR,TIA,587.04,GBP,2,Confirmed,DEV-000053,221.144.54.88,NG
178,121,2025-04-07 20:28:38,2025-04-08,LAX,ATH,649.52,GBP,3,Confirmed,DEV-000121,64.128.245.216,AE
179,1135,2025-06-28 12:43:55,2025-10-11,DXB,MXP,1417.85,GBP,3,Confirmed,DEV-001135,22.100.21.105,GB
180,1641,2026-01-04 04:02:40,2026-02-26,AMS,MAN,2121.64,GBP,3,Confirmed,DEV-001641,206.102.206.41,RO
181,118,2026-05-30 19:50:06,2026-09-18,BER,LOS,2561.59,GBP,2,Confirmed,DEV-000118,211.138.1.81,IT
182,1018,2026-03-18 09:40:07,2026-08-03,MXP,ORY,982.96,GBP,2,Confirmed,DEV-001018,13.248.245.147,ES
183,1219,2025-08-13 13:19:27,2025-09-14,AMS,TIA,707.43,GBP,2,Confirmed,DEV-001219,106.28.81.170,ES
184,1051,2026-04-08 12:26:19,2026-09-07,MXP,OTP,279.50,GBP,4,Cancelled,DEV-001051,137.70.82.195,AE
185,656,2026-06-27 22:48:40,2026-06-27,AGP,LOS,724.93,GBP,4,Pending Review,DEV-FRAUD-032,119.200.244.171,AE
186,460,2025-09-16 21:17:28,2025-12-18,OTP,HER,2524.11,GBP,4,Completed,DEV-000460,68.219.13.69,US
187,1176,2025-06-22 10:25:41,2025-10-05,LHR,LOS,787.08,GBP,1,Completed,DEV-001176,19.109.57.151,DE
188,974,2026-06-03 18:06:44,2026-06-06,FRA,LAX,1471.87,GBP,4,Cancelled,DEV-000974,32.49.219.82,FR
189,1292,2025-02-02 11:47:04,2025-02-05,SKG,AUH,729.81,GBP,4,Completed,DEV-001292,158.127.202.179,US
190,1731,2026-06-18 23:02:44,2026-09-21,ATH,AUH,1397.18,GBP,2,Confirmed,DEV-001731,84.190.28.98,NL
191,97,2025-10-22 19:49:54,2026-01-29,MUC,SKG,461.51,GBP,4,Confirmed,DEV-000097,194.226.174.138,NL
192,1298,2026-05-16 19:01:06,2026-08-13,MAD,ORY,147.44,GBP,3,Confirmed,DEV-SHARED-089,110.244.242.80,AE
193,1960,2025-07-15 02:43:36,2025-11-27,MXP,CDG,1489.53,GBP,3,Pending Review,DEV-001960,206.139.228.35,AL
194,881,2025-09-26 12:40:24,2026-01-05,ORY,OTP,830.64,GBP,3,Confirmed,DEV-000881,205.137.24.9,GB
195,1461,2026-05-10 21:15:55,2026-09-27,MUC,DXB,1122.43,GBP,2,Completed,DEV-SHARED-057,8.98.194.176,GR
196,1694,2025-02-02 09:23:30,2025-07-17,BER,MAN,622.47,GBP,1,Confirmed,DEV-001694,190.53.35.184,NL
197,708,2025-05-14 18:58:20,2025-07-21,TIA,OTP,1435.43,GBP,1,Confirmed,DEV-000708,62.63.75.138,AL
198,1081,2026-02-27 14:50:04,2026-08-25,VCE,LOS,507.38,GBP,4,Confirmed,DEV-SHARED-108,45.137.67.232,RO
199,1893,2025-02-08 08:26:14,2025-02-10,MAN,MXP,459.56,GBP,4,Confirmed,DEV-FRAUD-025,32.5.42.210,FR
200,1754,2026-05-29 17:27:39,2026-07-20,BCN,LGW,653.99,GBP,3,Confirmed,DEV-001754,191.194.224.214,ES
201,1452,2026-02-23 12:48:40,2026-04-24,LAX,OTP,72.27,GBP,2,Confirmed,DEV-001452,141.103.150.142,IT
202,1839,2026-05-09 10:27:36,2026-09-09,ATH,LHR,1044.76,GBP,2,Completed,DEV-001839,23.67.220.226,GB
203,1914,2025-04-19 02:52:47,2025-08-18,MXP,MAD,799.50,GBP,2,Confirmed,DEV-SHARED-096,156.206.70.112,GR
204,1806,2025-07-25 07:32:21,2025-10-29,MAD,HER,258.47,GBP,4,Confirmed,DEV-001806,148.9.25.17,AE
205,574,2025-01-04 22:16:00,2025-01-05,AMS,JFK,1420.86,GBP,1,Confirmed,DEV-000574,16.179.30.24,NG
206,1654,2025-05-28 19:46:17,2025-11-15,LHR,MXP,1704.52,GBP,4,Completed,DEV-001654,152.160.7.2,US
